a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,label,action_name
312.00,594.00,145.00,616.00,42.00,30.59,60.33,19.77,68.82,48.80,14.15,19.71,16.00,37.02,42.76,113.19,193.96,45.75,38.95,9.77,1.00,13.42,26.60,53.67,51.97,72.49,19.04,12.39,13.00,62.65,97.70,181.60,321.86,101.11,79.22,71.53,55.00,6.78,0.89,25.90,48.02,9.05,6.57,11.38,16.00,0,휴식 (Relax)
320.00,605.00,156.00,638.00,33.00,30.59,60.33,19.77,68.82,48.80,14.15,19.71,16.00,24.93,15.44,123.15,186.32,40.95,34.23,52.73,43.00,12.04,19.92,54.23,57.25,79.90,9.85,4.68,29.00,45.71,113.16,225.13,295.85,135.87,25.79,54.40,43.00,11.60,5.20,30.89,43.83,7.44,5.20,6.61,11.00,0,휴식 (Relax)
328.00,572.00,145.00,561.00,24.00,22.60,64.06,42.01,58.24,24.96,10.99,20.72,40.00,28.99,25.55,134.15,175.35,29.96,23.65,43.29,32.00,21.16,27.45,64.05,48.55,70.09,18.45,5.49,19.00,34.83,102.33,214.57,306.78,146.28,36.73,64.66,54.00,6.53,5.62,28.45,49.52,16.09,13.58,6.42,2.00,0,휴식 (Relax)
320.00,561.00,140.00,540.00,28.00,22.60,64.06,42.01,58.24,24.96,10.99,20.72,40.00,48.45,24.30,124.72,178.08,44.36,24.93,41.67,12.00,10.24,16.80,58.85,55.23,68.89,28.88,15.92,8.00,53.59,57.91,222.99,309.74,164.39,69.37,22.72,33.00,11.73,13.54,35.62,44.05,13.49,8.04,3.45,10.00,0,휴식 (Relax)
328.00,594.00,140.00,605.00,42.00,16.91,56.59,46.56,56.57,21.32,11.20,12.81,32.00,48.45,24.30,124.72,178.08,44.36,24.93,41.67,12.00,9.15,17.30,70.90,44.65,54.69,24.99,9.08,24.00,64.31,66.44,233.94,298.92,153.44,59.24,12.30,22.00,3.23,10.42,29.83,51.31,21.93,13.91,10.51,19.00,0,휴식 (Relax)
320.00,616.00,145.00,627.00,36.00,16.91,56.59,46.56,56.57,21.32,11.20,12.81,32.00,10.32,48.25,91.90,195.88,73.82,50.14,18.63,43.00,2.50,8.11,62.52,53.24,47.02,33.14,17.27,34.00,42.87,14.67,209.48,321.46,149.78,78.67,68.40,54.00,6.93,18.99,36.36,46.62,17.62,4.61,7.17,9.00,0,휴식 (Relax)
336.00,594.00,156.00,605.00,28.00,32.81,52.59,47.56,56.57,31.97,7.10,27.55,48.00,42.64,80.19,117.14,167.06,48.49,21.38,28.52,10.00,26.31,18.08,72.91,47.01,44.76,10.45,8.75,8.00,103.03,79.67,266.99,263.33,86.74,13.67,17.52,11.00,3.56,14.52,31.88,51.26,21.94,6.41,11.03,4.00,0,휴식 (Relax)
320.00,551.00,140.00,551.00,31.00,40.49,46.63,55.47,48.66,34.77,1.37,21.77,40.00,12.59,66.65,84.34,193.20,78.72,48.58,71.15,33.00,14.30,11.92,57.27,63.01,32.77,20.54,24.20,8.00,30.12,59.67,217.87,308.02,68.00,67.03,83.32,87.00,9.06,14.75,33.64,49.03,16.72,1.59,3.29,12.00,0,휴식 (Relax)
312.00,583.00,130.00,551.00,33.00,34.45,54.63,51.89,50.60,42.75,9.37,20.90,32.00,41.17,92.54,103.38,170.42,54.93,20.39,40.99,0.00,19.24,25.74,56.97,65.00,47.29,7.18,13.82,7.00,62.83,132.31,268.32,256.60,11.28,45.84,16.94,11.00,9.06,14.75,33.64,49.03,16.72,1.59,3.29,12.00,0,휴식 (Relax)
312.00,583.00,151.00,627.00,39.00,32.27,60.55,57.80,43.08,40.85,6.77,18.67,40.00,30.30,81.89,93.16,179.01,61.52,24.08,35.76,11.00,10.36,17.10,46.50,75.71,50.47,13.40,17.41,18.00,3.18,85.62,210.67,312.08,63.18,110.79,68.86,55.00,7.42,4.51,30.35,48.26,4.21,15.15,18.16,3.00,0,휴식 (Relax)
